MD5,SHA1,FileNames
"a1902c19e957d65e28fbc94beeac1d62","83e57427601bc446f200fc69237a2d0318f74651","30112119504352.bin\NONAME [FAT12]\[root]\XWCSD1D.DAT"
"af992e255ffb2a326b8f0629a321f5fa","9fc97d901de5e643866e67aabc56ab4fcd6a651a","30112119504352.bin\NONAME [FAT12]\[root]\WCSDAY.PRG"
"5e71568b298b31cb47db2deb9aed1dfa","4b9a5f713e2c17acfb1f7b3719d87d1c073acb63","30112119504352.bin\NONAME [FAT12]\[root]\XWCSD12D.DAT"
"7908508bb82495c06fbe75c67603c8e1","c1fd11d8434283d193821d678ff15046fc9e6165","30112119504352.bin\NONAME [FAT12]\[root]\XWCSD12N.DAT"
"3c18674a52dc89d13cfd1717b3dff390","246f114900a768a6ec770f93fed4ea9cc487adf9","30112119504352.bin\NONAME [FAT12]\[root]\XWCSD1N.OUT"
"c2811fdc3c4d43fccefce7d2146c0d48","5f65c36fe9fd472075db78bc6510f92365d253ea","30112119504352.bin\NONAME [FAT12]\[root]\XWCSD12N.OUT"
"fa8d05344db2c5c87646eaaeb1769d9e","e7a598395274f5c2498fb77d0cf5f3b22c6b5740","30112119504352.bin\NONAME [FAT12]\[root]\XWCSD1N.DAT"
"3239f7fc7cecdf47277e19efccb497f1","83ed7a6b343c238c6374fd035c300c4d5a618b1d","30112119504352.bin\NONAME [FAT12]\[root]\XWCSD1D.OUT"
"ce3e8a14cffb60a4b389e7c89c7bb2b6","64ad11f5b7a865381559d170b135013c405e7689","30112119504352.bin\NONAME [FAT12]\[root]\XWCSD12D.OUT"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504352.bin\NONAME [FAT12]\[root]\!WCSD12D.$A$"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504352.bin\NONAME [FAT12]\[root]\!WCSD12D.$B$"
"0d7555e84ab26e3952d33390f41a507a","d44688ecf42e030bd145016b6d3fba2e127d3b1b","30112119504352.bin\NONAME [FAT12]\VBR"
"ae1545e535fc827bf2ba78975011a3d6","0a0dba00bf1bba262c0686875f71b02b117c88d6","30112119504352.bin\NONAME [FAT12]\[unallocated space]\019"
"9326d71935e148aef45814abe0e86321","6e8f1c90befc515c965e56c727a3afc289288e17","30112119504352.bin\NONAME [FAT12]\FAT1"
"9326d71935e148aef45814abe0e86321","6e8f1c90befc515c965e56c727a3afc289288e17","30112119504352.bin\NONAME [FAT12]\FAT2"
