  SITE      DAY     MONTH    YEAR     RMILE   STATION  LB.DIST   DEPTH   MEANVEL    QW      CONC      QS      LOAD     TEMP      DO       PH      COND     TURB    SECCHI     TOC      CO3      DOC      POC      TUN      TFN      NO2
M375.8         13        6       85    375.8        7     1400     0.73    0.059  1668.16    72.94  54.6625  5067.78       17      5.4      7.9      320       27     49.5     14.2     32.6     12.9      1.3      1.5      1.5     0.06
M375.8         13        6       85    375.8       10     2000     1.02     0.05  1668.16    72.94   64.727  5067.78       17      8.4      8.4      320       35     25.4     16.7     32.9       14      2.7      1.8      1.6     0.07
M375.8         26        8       85    375.8        2      404     8.26    0.165  1076.62     13.6  322.517   1222.5       20      -99      7.9      340     12.5       72     20.2     33.8     18.1      2.1      1.1        1     0.03
M375.8         26        8       85    375.8        4      800        3    0.134  1076.62     16.2  113.316   1222.5       20      -99      8.4      340      9.6      111     19.4     33.7     17.8      1.6      1.1        1     0.03
M375.8         26        8       85    375.8        6     1212     0.75    0.078  1076.62     16.2  73.2155   1222.5       20      -99      8.4      320        9       75     19.8     33.1     19.5      0.3      1.1      1.1     0.01
M376.5          8       11       84    376.5        1      240     8.86     0.46  2128.33      157  12046.7  28288.2        7      9.9      8.2      260       86      -99     28.2     32.9     22.7      5.5      2.6      2.4     0.09
M376.5          8       11       84    376.5        3      665     2.79    0.395  2128.33      141  2925.48  28288.2        7      9.9      8.1      255       98      -99     27.1       31     21.8      5.3      3.1      2.9     0.11
M376.5          8       11       84    376.5        4      885     3.36    0.412  2128.33      160  4169.97  28288.2        7      9.9      8.1      255       82      -99     26.4     31.5     21.2      5.2      3.3      3.1     0.12
M376.5          8       11       84    376.5        7     1546     0.76    0.197  2128.33      123  346.706  28288.2        7       10      8.3      260       84      -99       26     31.3     20.2      5.8      3.6      3.5     0.12
M376.5         20        3       85    376.5        2      485     6.82    0.597  3041.14      119  9121.83  31427.3      7.5     10.8      -99      230      496       20     16.8     30.5     12.4      4.4      3.4      3.4     0.15
M376.5         20        3       85    376.5        4      895     3.51    0.448  3041.14      114  3374.94  31427.3      6.5     10.8      -99      255      416       12     16.5     32.1     11.8      4.7      3.9      3.8     0.15
M376.5         20        3       85    376.5        6     1340     1.13    0.346  3041.14      102  750.812  31427.3      7.5     10.8      -99      255      336       17       17     33.5     11.8      5.2        4      3.9     0.15
M376.5         20        3       85    376.5        8     1806     0.83    0.204  3041.14      102  325.151  31427.3      7.5     11.6      -99      260      368       14     10.5     33.4      8.7      1.8        4      3.9     0.15
M376.5         20        3       85    376.5       10     2240     1.02    0.189  3041.14      102  370.202  31427.3      7.5     11.4      -99      260      304       29     10.6     33.6      7.6        3        4      3.9     0.16
M376.5         13        6       85    376.5        1      240     8.65    0.414  1498.29    22.97  1548.65  4740.07       20      7.4      7.6      345       25     59.1     15.2     34.1     14.1      1.1      1.5      1.3     0.04
