  SITE      DAY     MONTH    YEAR     RMILE   STATION  LB.DIST   DEPTH   MEANVEL    QW      CONC      QS      LOAD     TEMP      DO       PH      COND     TURB    SECCHI     TOC      CO3      DOC      POC      TUN      TFN      NO2
    0.52     0.51     0.96     0.86     0.17     0.21      172      370
    0.18     0.22     0.94     0.82      0.2     0.23      173      435
    0.17     0.22     0.91      0.8     0.18      0.2      173      315
    0.16     0.22     0.95     0.86     0.18      0.2      175      295
    0.26     0.26      1.1     0.95     0.19     0.21      176      300
     2.1      0.5     0.62     0.55     0.16     0.36      184      380
     2.3      0.5     0.65     0.53     0.18     0.31      166      250
     2.7      0.5     0.68     0.53     0.22     0.34      175      335
       3     0.51     0.71      0.6     0.27     0.36      175      185
     4.4     0.64     0.89     0.88     0.22     0.29      174      250
     3.5     0.18     0.63     0.52      0.2     0.31      172      330
     3.4     0.18      0.6     0.59     0.18     0.32      170      310
     2.9     0.18     0.54     0.49     0.14     0.31      158      330
     2.7     0.18     0.58     0.47     0.15     0.29      158      250
    0.75     0.25     0.76     0.69     0.11     0.16      183      395
    0.58      0.3     0.82     0.77      0.1     0.16      168      250
    0.43     0.43     0.91     0.83     0.12     0.16      177      315
    0.41     0.46     0.92     0.88     0.14     0.16      177      255
    0.41     0.61      1.1     0.98     0.18     0.26      177      205
    0.17     0.19     0.93     0.82     0.16     0.23      173      365
    0.17     0.24     0.98     0.82     0.19     0.23      171      355
    0.16     0.26        1        1     0.19     0.21      171      445
    0.37     0.25     0.98     0.96     0.21     0.23      173      300
     1.8     0.51     0.86      0.6     0.18     0.35      201      175
     1.6     0.51     0.79     0.61     0.18     0.37      195      325
     1.3     0.53     0.78     0.61     0.18     0.31      183      320
     2.3      0.5     0.78     0.63     0.21     0.36      183      290
    0.14     0.08     0.86      0.6      0.1     0.23      169      415
     1.3     0.51     0.82     0.66     0.16     0.35      179      185
     1.3     0.49     0.74     0.67     0.18     0.34      179      390
     1.9     0.49     0.77     0.62     0.18     0.36      179      335
     2.4      0.5     0.77     0.61      0.2     0.38      182      195
     -99      -99      -99      -99      -99      -99      -99      -99
     -99      -99      -99      -99      -99      -99      -99      -99
     -99      -99      -99      -99      -99      -99      -99      -99
     1.3     0.57     0.76     0.67     0.17     0.35      177      350
     1.5     0.51     0.77     0.68     0.18     0.38      172      360
       2     0.53     0.77      0.7      0.2     0.38      170      395
     2.8     0.84      1.2      0.7     0.24     0.57      152      305
     2.6     0.89      1.2     0.89     0.22     0.52      152      285
     2.6     0.92      1.1     0.87     0.24     0.52      148      405
     2.9        1      1.4     0.98     0.34     0.68      140      270
     3.6     0.61      1.5     0.91     0.38     0.79      130      350
     1.9     0.27     0.54     0.51     0.15     0.31      166      360
     1.7     0.27     0.54     0.47     0.17     0.31      157      340
     1.8     0.27     0.58      0.5     0.15     0.32      154      405
     2.2     0.25     0.58     0.52     0.17     0.34      152      365
     2.9     0.16     0.56     0.51     0.18      0.4      158      435
    0.52     0.16     0.86     0.63     0.09     0.22      182      340
     -99      -99      -99      -99      -99      -99      -99      -99
     -99      -99      -99      -99      -99      -99      -99      -99
    0.45      0.2     0.93     0.64     0.08     0.22      176      385
    0.49     0.17      0.9     0.69     0.09     0.24      174      290
    0.14      0.1     0.88     0.58      0.1      0.2      169      350
    0.14      0.1     0.77     0.62      0.1     0.21      169      325
    0.14      0.1     0.82     0.59      0.1     0.22      169      310
     2.5     0.52     0.85     0.58     0.18     0.36      180      195
     2.2     0.52      0.8     0.55     0.18     0.35      184      420
     1.9     0.52     0.79     0.54     0.18     0.35      180      280
     1.7     0.52     0.81     0.59     0.17     0.31      172      245
     1.6     0.51      0.8      0.7     0.18     0.36      194      275
     1.4     0.54     0.81     0.64     0.17     0.35      188      330
     1.4     0.49     0.75      0.6     0.16     0.35      186      330
     1.4     0.49     0.76     0.61     0.16     0.33      186      325
     3.5      1.2      2.2     0.75     0.34      1.2      132      395
     3.4      1.1      2.5     0.75     0.28        1      140      390
     3.2     0.95      2.2     0.91     0.28     0.85      148      365
     2.9     0.89      1.7     0.91     0.26     0.63      154      400
     2.8     0.86      1.6     0.94     0.22     0.54      154      315
     3.4     0.27     0.64     0.54     0.15     0.28      199      330
       3     0.27     0.55     0.48     0.14     0.27      196      400
     2.4     0.32     0.57     0.48     0.15     0.27      184      340
     2.1     0.27     0.54     0.44     0.15     0.28      175      330
     1.9     0.27     0.56      0.5     0.15     0.26      169      315
    0.91     0.23        1     0.77     0.09     0.24      196      450
     -99      -99      -99      -99      -99      -99      -99      -99
    0.63     0.16      1.1     0.62     0.09     0.21      188      320
     -99      -99      -99      -99      -99      -99      -99      -99
    0.59     0.14     0.81     0.56     0.08     0.22      190      310
    0.14     0.11     0.88     0.61      0.1     0.21      175      310
    0.14     0.15     0.84     0.69      0.1     0.21      171      310
    0.14     0.14     0.94     0.77      0.1     0.21      173      245
     5.3     0.64     0.92     0.63     0.39     0.66      183      265
     5.3     0.63      2.7      1.1     0.41      1.5       98      150
    0.41     0.21     0.91     0.74     0.11     0.23      231      385
