MD5,SHA1,FileNames
"12bbb7bbbcef86fb9844c9fe5db6e286","3a9dcea5d4dbc634df3c54380c4e3697771fbd40","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\PERCLIG.XLS"
"9c62f7aecebbb0e0e033b84a2b034417","8bd36e9dda2c0aba125344a74877d310749bf04b","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\UNIDLIG.XLS"
"8cabcc6283fa06166265cb275b01428d","fa6910f0b90c29dbb708747d4022fd6d86349e88","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\SCIANLIG.XLS"
"3a3d40d3cd6c6cc19fc6ab90a4527155","f462ef2cbec5717156738becb441e1ef667cbaef","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\ATHERLIG.XLS"
"c74b6169a5d90e11e17fd069215a0f76","3bbbb0e5918632c3064a2c7b8af7cd0007157b05","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\PERCIDLI.XLS"
"4dcbce98b4d26d2042e86601e3b21bca","1ba2e01d1f3f9d8842b93c24bf75d4662058116b","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\CENTLIG.XLS"
"c455d808634890127e51f91e822f5fb7","a291d477af360e2d0c77e69e73130424a315dd1d","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\CYPRLIG.XLS"
"85ef4cb91515be1254a96ed34ac24eee","841168c538ee0bd4d8a9eb44beedebbc5bce5995","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\CATASLIG.XLS"
"b359d78fc880e031729cc3e9c2d866fb","5881630d9956dd40a7ecc674ea992a21c29b711c","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\LIGHTLEN.XLS"
"ba9a834473d75a5e4e61e398db4d1029","e2264dab9503f3bf8ebdfa114557ec8b072e8736","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\LIGHTTRA\CLUPLIG.XLS"
"922273dfefa0d1072b32f1e28494a80e","80188a143656f04dcee3c89b6315f01f406be13e","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\CATASRAN.XLS"
"7ee42b30c7718c73447c6cc6ec93c540","0937fc57fd2e84e58978460688a850f5109c7b9c","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\CENTRRAN.XLS"
"0fc5f37c07dcdc52cee10186afe6781a","938eb598bc27d0c734221ff5a394ad826e6af045","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\UNIDERAN.XLS"
"1d95651c181980b7b3fd9f2e90c9d6e3","dfb4626c83bec5e0e2e5c13adf9d2f0d89b36519","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\CLUPRAN3.XLS"
"1c00f7b2de7388bcb5c6eada3d76a753","d7318757db8ac2402ad8cba1f7a0157a650c0874","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\PERCIRAN.XLS"
"c9e3bbc3235c43c07d5b19d79896112d","f8d7db0c90390458b1930b544328d72bcc586a75","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\SCIANRAN.XLS"
"077dad3632bfc616a83ebd1f20cc132a","6bb04bfee8d1be6acc8328c1fbc55aced77d16dd","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\CLUPRAN2.XLS"
"afab39a50b9b38a79529922d036fb3c3","9476d97fc849b5ffef5fe6ea4ba9c160a76447ab","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\PERCIDRA.XLS"
"35aeea8b7270d653670a19b8e3200543","257afefceff922f434033a294c530fd5a85d4b99","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\CLUPRAN.XLS"
"f2d88a0b0ecc9fb491d0d2eb8ead9d11","0711a5240831a35b8a46f00ef8f4335b1258f8aa","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\CYPRIRAN.XLS"
"d3b61e69345eea33e23ae2b357b8f009","9cd8a7163b3c0913d68655dcbcc87c51640bce0d","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\RANDOM\ATHERRAN.XLS"
"3fe4b01d5f693ee45825e68b7333451a","848788202eabe770374ca911271ba26ddf7282ac","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\PERC24.XLS"
"d0f24b065052dc8862b4766197e353d1","612f8abba34563bf68b39609b7172e033f841317","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\UNID.XLS"
"c95db9845fbbc24c1a29b7fb89b3a3eb","3bc87e847a547e6ba66fb41e1a0f2483db57d325","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\LEP24.XLS"
"dcb04629869c3e3f1ad2330ac1f0fb96","3af6c343c986590f708c171f33cd765ce2d57c8f","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\CATAS.XLS"
"579053730673c02699a5780bd9d7da07","90bb247fd6ee85ebb6efdb30234f389c12a3ba25","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\!LUP24.XLS"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\!YPRIN.XLS"
"10e6c3c561f59c844c95fcaabc75442d","64ac689e3476d4759ae3bca2494ea306bae59b75","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\SCIAEN24.XLS"
"c75e93a1250258debd12b4ea4a1cc867","a4a5780176a925af008bdbd70a41ed21d49d1fe4","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\PERCID24.XLS"
"a1877f4c66e0536e3d897e040ca46268","c7cb1815fafc14e681e5935a57da38ca22ddd93b","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\CENT.XLS"
"459a3822ea523f03c35cdf48e399ad1d","714e082cd47ce6db734df5cd6544e7ed481f3074","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\24HR\ATHER24.XLS"
"d3b61e69345eea33e23ae2b357b8f009","9cd8a7163b3c0913d68655dcbcc87c51640bce0d","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\ATHERRAN.XLS"
"922273dfefa0d1072b32f1e28494a80e","80188a143656f04dcee3c89b6315f01f406be13e","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\CATASRAN.XLS"
"7ee42b30c7718c73447c6cc6ec93c540","0937fc57fd2e84e58978460688a850f5109c7b9c","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\CENTRRAN.XLS"
"35aeea8b7270d653670a19b8e3200543","257afefceff922f434033a294c530fd5a85d4b99","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\CLUPRAN.XLS"
"077dad3632bfc616a83ebd1f20cc132a","6bb04bfee8d1be6acc8328c1fbc55aced77d16dd","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\CLUPRAN2.XLS"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\!LUPRAN3.XLS"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\!YPRIRAN.XLS"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\!ERCIDRA.XLS"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\!ERCIRAN.XLS"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504923.bin\NONAME [FAT12]\[root]\CHAUTAQU\!CIANRAN.XLS"
"4cd2a126960b217f5852e4617c8c0e15","87eac74739ed872783e581bc42e6b017c64ad8b6","30112119504923.bin\NONAME [FAT12]\VBR"
"2968178533b7ec2395dcb79cc927558a","4c71443b797cafd6b2a0fc9ac13eb30cf277c515","30112119504923.bin\NONAME [FAT12]\[unallocated space]\1529"
"c8a55c8c35c5ea8b292114ba0045a224","12e00fb874c74b2c15e40ae603b0dfbea9e2fb88","30112119504923.bin\NONAME [FAT12]\[unallocated space]\2681"
"827f30df4fb31eb874d353401531a4b7","2b7310b93fc9a80c26a068b6d1d9a0fbbb4112d5","30112119504923.bin\NONAME [FAT12]\FAT1"
"827f30df4fb31eb874d353401531a4b7","2b7310b93fc9a80c26a068b6d1d9a0fbbb4112d5","30112119504923.bin\NONAME [FAT12]\FAT2"
