MD5,SHA1,FileNames
"a1902c19e957d65e28fbc94beeac1d62","83e57427601bc446f200fc69237a2d0318f74651","30112119504337.bin\NONAME [FAT12]\[root]\XWCSD1D.DAT"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504337.bin\NONAME [FAT12]\[root]\!WCSD12D.$A$"
"5e71568b298b31cb47db2deb9aed1dfa","4b9a5f713e2c17acfb1f7b3719d87d1c073acb63","30112119504337.bin\NONAME [FAT12]\[root]\XWCSD12D.DAT"
"7908508bb82495c06fbe75c67603c8e1","c1fd11d8434283d193821d678ff15046fc9e6165","30112119504337.bin\NONAME [FAT12]\[root]\XWCSD12N.DAT"
"3c18674a52dc89d13cfd1717b3dff390","246f114900a768a6ec770f93fed4ea9cc487adf9","30112119504337.bin\NONAME [FAT12]\[root]\XWCSD1N.OUT"
"c2811fdc3c4d43fccefce7d2146c0d48","5f65c36fe9fd472075db78bc6510f92365d253ea","30112119504337.bin\NONAME [FAT12]\[root]\XWCSD12N.OUT"
"fa8d05344db2c5c87646eaaeb1769d9e","e7a598395274f5c2498fb77d0cf5f3b22c6b5740","30112119504337.bin\NONAME [FAT12]\[root]\XWCSD1N.DAT"
"3239f7fc7cecdf47277e19efccb497f1","83ed7a6b343c238c6374fd035c300c4d5a618b1d","30112119504337.bin\NONAME [FAT12]\[root]\XWCSD1D.OUT"
"ce3e8a14cffb60a4b389e7c89c7bb2b6","64ad11f5b7a865381559d170b135013c405e7689","30112119504337.bin\NONAME [FAT12]\[root]\XWCSD12D.OUT"
"34344708683488f32c8e06f0708e751d","ca0863a339af3e7176d9526fdeda6e2118fbcb9a","30112119504337.bin\NONAME [FAT12]\[root]\DAYTOUCH.DAT"
"f1c5011dc8307bb7292f3551717922a7","711a58e20a6e92a5442d6f852d7d48522438eabf","30112119504337.bin\NONAME [FAT12]\[root]\DAYTOUCH.BAK"
"6c664d8c0fd86e537044c87fc598649d","b6f95d4a79a5b572370967bdf8ec57b6281f26b5","30112119504337.bin\NONAME [FAT12]\[root]\NITTOUCH.DAT"
"be09d6a73d07eb6725fc6e8b1defd1c2","b2e7493755688d75537f6c30cbad870ba4c09b17","30112119504337.bin\NONAME [FAT12]\[root]\WCSDAY.BAK"
"c4145b599a478d00ca34368ac9ad5a8d","e7aa94490d9a7117fa72712853f1f3b483f59523","30112119504337.bin\NONAME [FAT12]\[root]\NITTOUCH.OUT"
"5822e0a59341e393b8ea179073c2515e","0d0580fa99e86bc34497b3c53c3ff619b7becaaa","30112119504337.bin\NONAME [FAT12]\[root]\DAYTOUCH.OUT"
"be09d6a73d07eb6725fc6e8b1defd1c2","b2e7493755688d75537f6c30cbad870ba4c09b17","30112119504337.bin\NONAME [FAT12]\[root]\WCSDAY.PRG"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504337.bin\NONAME [FAT12]\[root]\!WCSD12D.$B$"
"0d7555e84ab26e3952d33390f41a507a","d44688ecf42e030bd145016b6d3fba2e127d3b1b","30112119504337.bin\NONAME [FAT12]\VBR"
"a57b53be1f086469e15f465c73b8ead1","72f4b59ffc7309b25a408d64d960929a5a2bcb98","30112119504337.bin\NONAME [FAT12]\[unallocated space]\030"
"e632a3b57589c9a78a9326bb00121b4b","8279271eb71630dbdc1cd00952da394508df18c8","30112119504337.bin\NONAME [FAT12]\FAT1"
"e632a3b57589c9a78a9326bb00121b4b","8279271eb71630dbdc1cd00952da394508df18c8","30112119504337.bin\NONAME [FAT12]\FAT2"
