MD5,SHA1,FileNames
"2dd2e029ee4df9ccc80ac8f4a648da05","f855de0bd34fc7bb505d8189a36feb3c8d232b4d","30112119504501.bin\NONAME [FAT12]\[root]\TRIBDATA.WK1"
"4fbf1cdd0cdaff63502d42fd29d7f8ec","48db0ea3664c6ff08bfa41ebd15a3f6bd265182e","30112119504501.bin\NONAME [FAT12]\[root]\TRIBDATA.PRN"
"5f50649419cea6e6f0b8c483c7a1b4a3","a48235d8dbcc303a043a73235134f5ba481c4f43","30112119504501.bin\NONAME [FAT12]\[root]\MAINRIV.PRN"
"88d73ebf4e8c40bd17b86be81da79529","09551ebc740a109837c932bd976c92dd3495ba80","30112119504501.bin\NONAME [FAT12]\[root]\ISWSTRIB.WK1"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504501.bin\NONAME [FAT12]\[root]\!AINRIV.WK1"
"11ecd2b9de9381546cf7f465b05690e3","62a8c082310033595e249327e1b4793c8a14d8f1","30112119504501.bin\NONAME [FAT12]\VBR"
"b629c46df5b6e939a05bbe1ea42f3cfe","116c9da5219b2963f15bbd077d1811cc530ef059","30112119504501.bin\NONAME [FAT12]\[unallocated space]\301"
"2134f226e8a2b561c9287d65bac53ab3","c6c29ce77f5afa35cc024fbb8a9e9b729137eef1","30112119504501.bin\NONAME [FAT12]\FAT1"
"2134f226e8a2b561c9287d65bac53ab3","c6c29ce77f5afa35cc024fbb8a9e9b729137eef1","30112119504501.bin\NONAME [FAT12]\FAT2"
