MD5,SHA1,FileNames
"623868673b8bc52cbb1b229c86af6b21","036e88e04e6570ba2de196ae00022dbaae38c5cf","30112119504683.bin\NONAME [FAT12]\[root]\TABLE1.BAK"
"860b575a67afe834762a5c3375e140e8","072464886f6c79274a300219debab0941b29f034","30112119504683.bin\NONAME [FAT12]\[root]\PUB.BAK"
"9aa680168346af64a3d3dc6445cd2093","6dd491f8213f8566689ec0172efb7e8511be7ba8","30112119504683.bin\NONAME [FAT12]\[root]\CONTENTS.BAK"
"78dce8674caca67f70a4a20b1efe3459","8eea0661940be1b987e3aa0f65b4c6e1e43b067a","30112119504683.bin\NONAME [FAT12]\[root]\ACK-DIS.BAK"
"6efff77c4fcd58a4abc23e586a32d9bb","13fd0d627f0ae0e11d0aa240c903599634ae6518","30112119504683.bin\NONAME [FAT12]\[root]\TABLE1"
"8c536e91955f856081705435165731f1","97965831b8a1c751b59a0591c02bb72ffb8d7935","30112119504683.bin\NONAME [FAT12]\[root]\!PPENDC.BAK"
"d897af63f783e5c33bb43b1412931e7c","7493315e560a0c3a879b2890d6bd7f3395d8634f","30112119504683.bin\NONAME [FAT12]\[root]\TABLES"
"15797f51ebb2319b7af854dd4d8dbca6","c0214b3d56a5d278376137cf97a98fd921cfc783","30112119504683.bin\NONAME [FAT12]\[root]\SPARKS.BAK"
"9b97c98efbda396c255aa80c4037dffc","2f8f4b19cc5124b85f56767618eada76ac24ff4a","30112119504683.bin\NONAME [FAT12]\[root]\MEMO"
"c2349e863d7bd71da4012ac9d159a6f4","6b028688738004a8c7163c2c323b53cea74437da","30112119504683.bin\NONAME [FAT12]\[root]\LIT"
"d871ea8b40e4a0971ae7c830839ce226","7c36827fc601c80936f559d5e4506e696ccc0e35","30112119504683.bin\NONAME [FAT12]\[root]\APPENDA.BAK"
"9321993895c5eb67d08bff55eaab31ca","f5c94381fcb5099860c5cfb35a5874de2e093009","30112119504683.bin\NONAME [FAT12]\[root]\SPARKS.TMP"
"c7a6041da66b49f03929b37836b1d501","5aaf0033a8e048ca60a84027838922ac9d3e6355","30112119504683.bin\NONAME [FAT12]\[root]\STAFF.BAK"
"e5dc1bc5c3f40ae936c3dc58056c02f0","2da062641fbdf07cd909db39dac95a727a4ab1a8","30112119504683.bin\NONAME [FAT12]\[root]\SPARKS"
"6bbae44c7c36c47c64c5cc4d5e1b7105","235fd2adaa712bb6a4dd8b2e267a03c7dd97b793","30112119504683.bin\NONAME [FAT12]\[root]\TITLE.BAK"
"b2417dacbb00116d58e5930940d78701","2437edab3f0d99b981f6c7c4a2b644eb52eab6a6","30112119504683.bin\NONAME [FAT12]\[root]\NOTES"
"a4965e5ba9a76792b33d6db627990dc5","1ede271436a50f9a41a6d3fd128c346b2804ec52","30112119504683.bin\NONAME [FAT12]\[root]\ACK-DIS"
"9cd0c54fd41fdabaf3fbb5a74d686453","90e5f66bd1d0e2382aa08f03919303852daf6e50","30112119504683.bin\NONAME [FAT12]\[root]\APPENDC.BAK"
"43fb419d6c00cc7bf2e7388163125661","33f7282f0f6b94091b446bd79500c171917b4cb6","30112119504683.bin\NONAME [FAT12]\[root]\FIGURES.BAK"
"6c094eda07ff039dac272e020ec459e7","8b70e5816100a4a75dfc95d4d006f6d6ee621c56","30112119504683.bin\NONAME [FAT12]\[root]\TITLE"
"8ddffba0184b05a094e3a93680cbccbb","fc22a837b0b431e70a802a2f29e8b3581cc204e8","30112119504683.bin\NONAME [FAT12]\[root]\APPENDA"
"5a8037e64b4abd3c10d879722d53bcdc","c7e68c41f87d75dfea42509f418b4ceb07c8c18c","30112119504683.bin\NONAME [FAT12]\[root]\PUB"
"be61fcc11a7fd392cd748b36e61759b1","b00fb48379fe42a7f79882e954b8ad8badf8303c","30112119504683.bin\NONAME [FAT12]\[root]\LIT.BAK"
"a18e20017624fe73a8d16233d98fb64e","29d943a24440d5fbb1ec2f90c1cdc2b8f7216b0b","30112119504683.bin\NONAME [FAT12]\[root]\FIGURES"
"03e96a081ad0125bf36dd3a9f93edb1e","2de5a2dbb71c2f91e5d1a9b550d38c69f0d1c0b7","30112119504683.bin\NONAME [FAT12]\[root]\TABLES.BAK"
"35cf72da10300484396a119e7287504a","5995ec9b6d1d98a0db1594d828a100b007d25723","30112119504683.bin\NONAME [FAT12]\[root]\STAFF"
"9cd0c54fd41fdabaf3fbb5a74d686453","90e5f66bd1d0e2382aa08f03919303852daf6e50","30112119504683.bin\NONAME [FAT12]\[root]\APPENDC"
"1535ba142bd7748a692f76b04530979b","2b3c1719436fb7d2d7908c3e91531acc378835e7","30112119504683.bin\NONAME [FAT12]\[root]\CONTENTS"
"f39203625ae93b233d335666d86b3721","cfb3385883a85970e7c317ed70db386e3497ca93","30112119504683.bin\NONAME [FAT12]\VBR"
"8c536e91955f856081705435165731f1","97965831b8a1c751b59a0591c02bb72ffb8d7935","30112119504683.bin\NONAME [FAT12]\[unallocated space]\007"
"a12984bd0e0c73b9745a6482ebecd7f3","498077e195a163a33b9764e132f2098dfdfbb783","30112119504683.bin\NONAME [FAT12]\[unallocated space]\012"
"3672a85d5454a0cf174b38295873c864","afbad2655a38ffc035679d35aee0865e08e4e20f","30112119504683.bin\NONAME [FAT12]\[unallocated space]\033"
"09ed781856964a598963e34f1ebce74c","45730386c699afad7acff0ea5ed4ec7a0fe48558","30112119504683.bin\NONAME [FAT12]\[unallocated space]\058"
"54222bd0a5a3430fdaee943cff4d67f3","a88c6665061150a2ccd7fd450bce2fa79eec5b5f","30112119504683.bin\NONAME [FAT12]\[unallocated space]\148"
"c1dc716d2d6f23daae53bda258cf440f","0fab028e89a40b3b623e43bc90d3fa919db71dc7","30112119504683.bin\NONAME [FAT12]\[unallocated space]\170"
