MD5,SHA1,FileNames
"b5d6b2d27b5a1f2220a0792531715336","2cc3adc656c3c0d5b72af9880aa52e6cba713d34","30112119504493.bin\NONAME [FAT12]\[root]\MAINRIV.WK1"
"2648366b49ffe356d711b95d2790dc8b","a66e9efca76f5e3e63d7c4ee9c283add98b6f741","30112119504493.bin\NONAME [FAT12]\[root]\MAIN2.WK1"
"48602fb6f309949979b306ab6f88f8d4","dadea8aa05bfb9fd6644a4d7d23f416848b8333c","30112119504493.bin\NONAME [FAT12]\[root]\LOAD.WK1"
"930003a060c0d8aa4e9711299b0ce2b2","6c285859ec6a89b362a1df30e8a4e9565368c9dd","30112119504493.bin\NONAME [FAT12]\[root]\TRANS1.WK1"
"2d2dd8af37154d8079175f5d58218152","beed495e48a5e6169f6f9b3dd078c9ed47e45110","30112119504493.bin\NONAME [FAT12]\[root]\HOLD.WK1"
"88d73ebf4e8c40bd17b86be81da79529","09551ebc740a109837c932bd976c92dd3495ba80","30112119504493.bin\NONAME [FAT12]\[root]\ISWSTRIB.WK1"
"cb9d975bc4f715bea7bfdbadc9a1edfc","6c6cef578d3d6fd71c6cd4c0463f072ba6582b55","30112119504493.bin\NONAME [FAT12]\[root]\TRANS.WK1"
"b26276dfcef1e064aa50a11e67ef2573","a780da726c16c54d70be3895f4e52e17bfe40cd4","30112119504493.bin\NONAME [FAT12]\[root]\MAIN3.WK1"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504493.bin\NONAME [FAT12]\[root]\!AUG84.PIC"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504493.bin\NONAME [FAT12]\[root]\!JUNE84.PIC"
"d41d8cd98f00b204e9800998ecf8427e","da39a3ee5e6b4b0d3255bfef95601890afd80709","30112119504493.bin\NONAME [FAT12]\[root]\!MARCH84.PIC"
"06ec33bb5cacafc9291a74e3c819653c","0ad913b8815380431c6c4f314ef2e2d740ae07d3","30112119504493.bin\NONAME [FAT12]\[root]\TOTALLOA.WK1"
"dbe1fede1d931a0d4e2f390140ef9655","2238dddd23b304c4461915f63cfac3cc3bd47b76","30112119504493.bin\NONAME [FAT12]\[root]\CHEM.WK1"
"265862ac98806939a446fad4de53b519","ff12c552b864db97eeea3d372d2dafa65ab2267d","30112119504493.bin\NONAME [FAT12]\[root]\CONCTURB.PAR"
"93e4e076ac15cce51e23969b9859b8de","f22f5b4e6c38d9040b35cfcd94a39f3873a30ffe","30112119504493.bin\NONAME [FAT12]\[root]\CONCSECH.PAR"
"8679d6490df961dca5b18a01ff600e2a","f975137054a82924c327ff9f984eedb08eb4e6f5","30112119504493.bin\NONAME [FAT12]\[root]\CONCPOC.PAR"
"d5b90dceed66e1a6d6314e66f30a3362","f49d5f9a06d74b87d75a1f8c98a8cf77a0383b0f","30112119504493.bin\NONAME [FAT12]\[root]\CONSECH.PAR"
"11ecd2b9de9381546cf7f465b05690e3","62a8c082310033595e249327e1b4793c8a14d8f1","30112119504493.bin\NONAME [FAT12]\VBR"
"faaad71229374e6fb70fb52edc6ecd14","76ddbd3df691820a4686f41631e42840b68692e7","30112119504493.bin\NONAME [FAT12]\[unallocated space]\224"
"914798796c2fab519a0a8e746b316cc8","4141e7af459567bdd983cd2761f86d1589bcd09d","30112119504493.bin\NONAME [FAT12]\[unallocated space]\274"
"a4951062893bba11d5178fe09fba9047","6f06f816263307dd5e466df3abdc96f44fe79fb4","30112119504493.bin\NONAME [FAT12]\[unallocated space]\284"
"108783b2dbf1b4ac9e3fdf38a4682ff5","e3e09236cae28447a30684486256171d7ee1cc52","30112119504493.bin\NONAME [FAT12]\[unallocated space]\345"
"c891c5b3536a416fe85419bc69167a19","24ad2f4229503947cb6f4d8c3a6a422ffd85010f","30112119504493.bin\NONAME [FAT12]\FAT1"
"c891c5b3536a416fe85419bc69167a19","24ad2f4229503947cb6f4d8c3a6a422ffd85010f","30112119504493.bin\NONAME [FAT12]\FAT2"
